Date,Se-Jong,Cheon-An,Gong-Ju
2020-11-25,350000,660000,110000
2020-11-25,349533.0,660817,110050
2020-12-25,349071.0,661631,110099
2021-1-25,348613.0,662441,110147
2021-2-25,348159.0,663248,110194
2021-3-25,347709.0,664052,110240
2021-4-25,347263.0,664853,110285
2021-5-25,346821.0,665651,110329
2021-6-25,346383.0,666446,110372
2021-7-25,345949.0,667238,110414
2021-8-25,345519.0,668027,110455
2021-9-25,345093.0,668814,110495
2021-10-25,344671.0,669598,110534
2021-11-25,344252.0,670379,110572
2021-12-25,343837.0,671157,110609
2022-1-25,343426.0,671932,110645
2022-2-25,343018.0,672704,110680
2022-3-25,342614.0,673473,110715
2022-4-25,342214.0,674239,110749
2022-5-25,341817.0,675003,110782
2022-6-25,341424.0,675764,110814
2022-7-25,341034.0,676522,110846
2022-8-25,340648.0,677277,110877
2022-9-25,340265.0,678030,110907
2022-10-25,339886.0,678780,110936
2022-11-25,339510.0,679527,110965
2022-12-25,339138.0,680271,110993
2023-1-25,338769.0,681013,111020
2023-2-25,338403.0,681752,111047
2023-3-25,338040.0,682488,111073
2023-4-25,337681.0,683222,111098
2023-5-25,337325.0,683953,111123
2023-6-25,336972.0,684682,111147
2023-7-25,336622.0,685408,111171
2023-8-25,336275.0,686131,111194
2023-9-25,335932.0,686852,111217
2023-10-25,335592.0,687570,111239
2023-11-25,335255.0,688286,111260
2023-12-25,334921.0,688999,111281
2024-1-25,334590.0,689710,111301
2024-2-25,334262.0,690418,111321
2024-3-25,333937.0,691124,111340
2024-4-25,333615.0,691827,111359
2024-5-25,333295.0,692528,111378
2024-6-25,332978.0,693227,111396
2024-7-25,332664.0,693923,111414
2024-8-25,332353.0,694617,111431
2024-9-25,332045.0,695308,111448
2024-10-25,331740.0,695997,111464
2024-11-25,331437.0,696684,111480
2024-12-25,331137.0,697368,111496
2025-1-25,330840.0,698050,111511
2025-2-25,330545.0,698730,111526
2025-3-25,330253.0,699407,111541
2025-4-25,329964.0,700082,111555
2025-5-25,329677.0,700755,111569
2025-6-25,329393.0,701426,111583
2025-7-25,329111.0,702094,111596
2025-8-25,328832.0,702760,111609
2025-9-25,328555.0,703424,111622
2025-10-25,328281.0,704086,111634
2025-11-25,328009.0,704746,111646
2025-12-25,327740.0,705403,111658
2026-1-25,327473.0,706058,111669
2026-2-25,327209.0,706711,111680
2026-3-25,326947.0,707362,111691
2026-4-25,326688.0,708011,111702
2026-5-25,326431.0,708658,111712
2026-6-25,326176.0,709302,111722
2026-7-25,325924.0,709944,111732
2026-8-25,325674.0,710584,111742
2026-9-25,325426.0,711222,111752
2026-10-25,325180.0,711858,111761
2026-11-25,324937.0,712492,111770
2026-12-25,324696.0,713124,111779
2027-1-25,324457.0,713754,111788
2027-2-25,324220.0,714382,111797
2027-3-25,323985.0,715008,111805
2027-4-25,323753.0,715632,111813
2027-5-25,323523.0,716254,111821
2027-6-25,323295.0,716874,111829
2027-7-25,323069.0,717492,111837
2027-8-25,322845.0,718108,111845
