Date,Se-Jong,Cheon-An,Gong-Ju
2020-11-25,350000,660000,110000
2020-11-25,349985,660027,110002
2020-11-25,349970,660054,110004
2020-11-25,349955,660081,110006
2020-11-25,349940,660108,110008
2020-11-25,349925,660135,110010
2020-11-25,349910,660162,110012
2020-11-25,349895,660189,110014
2020-11-25,349880,660216,110016
2020-11-25,349865,660243,110018
2020-11-25,349850,660270,110020
2020-11-25,349835,660297,110022
2020-11-25,349820,660324,110024
2020-11-25,349805,660351,110026
2020-11-25,349790,660378,110028
2020-11-25,349775,660405,110030
2020-11-25,349760,660432,110032
2020-11-25,349745,660459,110034
2020-11-25,349730,660486,110036
2020-11-25,349715,660513,110038
2020-11-25,349700,660540,110040
2020-11-25,349685,660567,110042
2020-11-25,349670,660594,110044
2020-11-25,349655,660621,110046
2020-11-25,349640,660648,110048
2020-11-25,349625,660675,110050
2020-11-25,349610,660702,110052
2020-11-25,349595,660729,110054
2020-11-25,349580,660756,110056
2020-11-25,349565,660783,110058
2020-11-25,349550,660810,110060
2020-11-25,349535,660837,110062
2020-11-25,349520,660864,110064
2020-11-25,349505,660891,110066
2020-11-25,349490,660918,110068
2020-11-25,349475,660945,110070
2020-11-25,349460,660972,110072
2020-11-25,349445,660999,110074
2020-11-25,349430,661026,110076
2020-11-25,349415,661053,110078
2020-11-25,349400,661080,110080
2020-11-25,349385,661107,110082
2020-11-25,349370,661134,110084
2020-11-25,349355,661161,110086
2020-11-25,349340,661188,110088
2020-11-25,349325,661215,110090
2020-11-25,349310,661242,110092
2020-11-25,349295,661269,110094
2020-11-25,349280,661296,110096
2020-11-25,349265,661323,110098
2020-11-25,349250,661350,110100
2020-11-25,349235,661377,110102
2020-11-25,349220,661404,110104
2020-11-25,349205,661431,110106
2020-11-25,349190,661458,110108
2020-11-25,349175,661485,110110
2020-11-25,349160,661512,110112
2020-11-25,349145,661539,110114
2020-11-25,349130,661566,110116
2020-11-25,349115,661593,110118
2020-11-25,349100,661620,110120
2020-11-25,349085,661647,110122
2020-11-25,349070,661674,110124
2020-11-25,349055,661701,110126
2020-11-25,349040,661728,110128
2020-11-25,349025,661755,110130
2020-11-25,349010,661782,110132
2020-11-25,348995,661809,110134
2020-11-25,348980,661836,110136
2020-11-25,348965,661863,110138
2020-11-25,348950,661890,110140
2020-11-25,348935,661917,110142
2020-11-25,348920,661944,110144
2020-11-25,348905,661971,110146
2020-11-25,348890,661998,110148
2020-11-25,348875,662025,110150
2020-11-25,348860,662052,110152
2020-11-25,348845,662079,110154
2020-11-25,348830,662106,110156
2020-11-25,348815,662133,110158
2020-11-25,348800,662160,110160
2020-11-25,348785,662187,110162
2020-11-25,348770,662214,110164
2020-11-25,348755,662241,110166
2020-11-25,348740,662268,110168
2020-11-25,348725,662295,110170
2020-11-25,348710,662322,110172
2020-11-25,348695,662349,110174
2020-11-25,348680,662376,110176
2020-11-25,348665,662403,110178
2020-11-25,348650,662430,110180
2020-11-25,348635,662457,110182
2020-11-25,348620,662484,110184
2020-11-25,348605,662511,110186
2020-11-25,348590,662538,110188
2020-11-25,348575,662565,110190
2020-11-25,348560,662592,110192
2020-11-25,348545,662619,110194
2020-11-25,348530,662646,110196
2020-11-25,348515,662673,110198
2020-11-25,348500,662700,110200
2020-11-25,348485,662727,110202
2020-11-25,348470,662754,110204
2020-11-25,348455,662781,110206
2020-11-25,348440,662808,110208
2020-11-25,348425,662835,110210
2020-11-25,348410,662862,110212
