Date,Se-Jong,Cheon-An,Gong-Ju,Sum,Gap
2020-11-25,350000,660000,110000,1120000,0
2021-11-25,344400,669800,110600,1124800,4800
2022-11-25,339406,679154,111040,1129600,4800
2023-11-25,334949,688093,111358,1134400,4800
2024-11-25,330970,696646,111584,1139200,4800
2025-11-25,327417,704841,111742,1144000,4800
2026-11-25,324246,712702,111852,1148800,4800
2027-11-25,321419,720253,111929,1153601,4801
2028-11-25,318901,727515,111985,1158401,4800
2029-11-25,316663,734509,112029,1163201,4800
2030-11-25,314678,741253,112070,1168001,4800
2031-11-25,312923,747765,112112,1172800,4799
2032-11-25,311378,754061,112161,1177600,4800
2033-11-25,310024,760157,112219,1182400,4800
2034-11-25,308846,766066,112288,1187200,4800
2035-11-25,307828,771801,112371,1192000,4800
2036-11-25,306957,777375,112468,1196800,4800
2037-11-25,306221,782799,112580,1201600,4800
2038-11-25,305609,788083,112708,1206400,4800
2039-11-25,305112,793237,112851,1211200,4800
2040-11-25,304721,798270,113009,1216000,4800
2041-11-25,304427,803191,113182,1220800,4800
2042-11-25,304223,808008,113369,1225600,4800
2043-11-25,304102,812727,113570,1230399,4799
2044-11-25,304058,817356,113785,1235199,4800
2045-11-25,304085,821901,114013,1239999,4800
2046-11-25,304179,826368,114253,1244800,4801
2047-11-25,304334,830762,114504,1249600,4800
2048-11-25,304545,835089,114766,1254400,4800
2049-11-25,304809,839353,115038,1259200,4800
2050-11-25,305122,843558,115320,1264000,4800
2051-11-25,305480,847709,115611,1268800,4800
2052-11-25,305880,851809,115911,1273600,4800
2053-11-25,306319,855862,116219,1278400,4800
2054-11-25,306794,859872,116534,1283200,4800
2055-11-25,307303,863841,116856,1288000,4800
2056-11-25,307843,867772,117185,1292800,4800
2057-11-25,308412,871668,117520,1297600,4800
2058-11-25,309008,875531,117861,1302400,4800
2059-11-25,309629,879364,118207,1307200,4800
2060-11-25,310273,883169,118558,1312000,4800
2061-11-25,310939,886947,118914,1316800,4800
2062-11-25,311625,890701,119275,1321601,4801
2063-11-25,312330,894432,119640,1326402,4801
2064-11-25,313052,898142,120008,1331202,4800
2065-11-25,313790,901832,120380,1336002,4800
2066-11-25,314543,905504,120755,1340802,4800
2067-11-25,315310,909159,121133,1345602,4800
2068-11-25,316090,912798,121514,1350402,4800
2069-11-25,316882,916422,121898,1355202,4800
2070-11-25,317685,920033,122284,1360002,4800
2071-11-25,318499,923631,122672,1364802,4800
2072-11-25,319323,927217,123062,1369602,4800
2073-11-25,320156,930792,123455,1374403,4801
2074-11-25,320997,934357,123849,1379203,4800
2075-11-25,321846,937912,124245,1384003,4800
2076-11-25,322702,941458,124643,1388803,4800
2077-11-25,323565,944996,125042,1393603,4800
2078-11-25,324434,948526,125443,1398403,4800
2079-11-25,325309,952049,125845,1403203,4800
2080-11-25,326189,955566,126248,1408003,4800
2081-11-25,327074,959077,126652,1412803,4800
2082-11-25,327964,962582,127057,1417603,4800
2083-11-25,328858,966081,127463,1422402,4799
2084-11-25,329756,969575,127870,1427201,4799
2085-11-25,330658,973065,128278,1432001,4800
2086-11-25,331564,976550,128687,1436801,4800
2087-11-25,332473,980032,129096,1441601,4800
2088-11-25,333385,983510,129506,1446401,4800
2089-11-25,334300,986984,129917,1451201,4800
2090-11-25,335218,990455,130328,1456001,4800
2091-11-25,336138,993923,130740,1460801,4800
2092-11-25,337060,997388,131152,1465600,4799
2093-11-25,337984,1000851,131565,1470400,4800
2094-11-25,338910,1004311,131978,1475199,4799
2095-11-25,339838,1007769,132392,1479999,4800
2096-11-25,340768,1011225,132806,1484799,4800
2097-11-25,341699,1014679,133220,1489598,4799
2098-11-25,342632,1018131,133635,1494398,4800
2099-11-25,343566,1021582,134050,1499198,4800
2100-11-25,344502,1025031,134465,1503998,4800
2101-11-25,345439,1028479,134881,1508799,4801
2102-11-25,346377,1031925,135297,1513599,4800
2103-11-25,347316,1035370,135713,1518399,4800
2104-11-25,348256,1038814,136129,1523199,4800
2105-11-25,349197,1042257,136545,1527999,4800
2106-11-25,350138,1045699,136962,1532799,4800
2107-11-25,351080,1049140,137379,1537599,4800
2108-11-25,352023,1052580,137796,1542399,4800
2109-11-25,352967,1056019,138213,1547199,4800
2110-11-25,353911,1059458,138630,1551999,4800
2111-11-25,354856,1062896,139047,1556799,4800
2112-11-25,355801,1066333,139465,1561599,4800
2113-11-25,356747,1069770,139883,1566400,4801
2114-11-25,357693,1073206,140301,1571200,4800
2115-11-25,358640,1076642,140719,1576001,4801
2116-11-25,359587,1080077,141137,1580801,4800
2117-11-25,360535,1083512,141555,1585602,4801
2118-11-25,361483,1086946,141973,1590402,4800
2119-11-25,362431,1090380,142391,1595202,4800
2120-11-25,363379,1093814,142809,1600002,4800
2121-11-25,364328,1097247,143227,1604802,4800
2122-11-25,365277,1100680,143645,1609602,4800
2123-11-25,366226,1104112,144063,1614401,4799
2124-11-25,367175,1107544,144481,1619200,4799
2125-11-25,368125,1110976,144900,1624001,4801
2126-11-25,369075,1114408,145319,1628802,4801
2127-11-25,370025,1117840,145737,1633602,4800
2128-11-25,370975,1121271,146156,1638402,4800
2129-11-25,371925,1124702,146575,1643202,4800
2130-11-25,372876,1128133,146994,1648003,4801
2131-11-25,373827,1131564,147413,1652804,4801
2132-11-25,374778,1134995,147832,1657605,4801
2133-11-25,375729,1138426,148250,1662405,4800
2134-11-25,376680,1141856,148669,1667205,4800
2135-11-25,377631,1145286,149088,1672005,4800
2136-11-25,378582,1148716,149507,1676805,4800
2137-11-25,379533,1152146,149926,1681605,4800
2138-11-25,380484,1155576,150345,1686405,4800
2139-11-25,381436,1159006,150764,1691206,4801
2140-11-25,382388,1162436,151183,1696007,4801
2141-11-25,383340,1165866,151602,1700808,4801
2142-11-25,384292,1169296,152021,1705609,4801
2143-11-25,385244,1172726,152440,1710410,4801
2144-11-25,386196,1176156,152859,1715211,4801
2145-11-25,387148,1179586,153278,1720012,4801
2146-11-25,388100,1183016,153697,1724813,4801
2147-11-25,389052,1186446,154116,1729614,4801
2148-11-25,390004,1189875,154535,1734414,4800
2149-11-25,390956,1193304,154954,1739214,4800
2150-11-25,391908,1196733,155373,1744014,4800
2151-11-25,392860,1200162,155792,1748814,4800
2152-11-25,393812,1203591,156211,1753614,4800
2153-11-25,394764,1207020,156630,1758414,4800
2154-11-25,395716,1210449,157049,1763214,4800
2155-11-25,396668,1213878,157468,1768014,4800
2156-11-25,397620,1217307,157887,1772814,4800
2157-11-25,398572,1220736,158306,1777614,4800
2158-11-25,399524,1224165,158725,1782414,4800
2159-11-25,400476,1227594,159144,1787214,4800
2160-11-25,401428,1231023,159563,1792014,4800
2161-11-25,402380,1234452,159982,1796814,4800
2162-11-25,403332,1237881,160401,1801614,4800
2163-11-25,404284,1241310,160820,1806414,4800
2164-11-25,405236,1244739,161239,1811214,4800
2165-11-25,406188,1248168,161658,1816014,4800
2166-11-25,407140,1251597,162077,1820814,4800
2167-11-25,408092,1255026,162496,1825614,4800
2168-11-25,409044,1258455,162915,1830414,4800
2169-11-25,409997,1261884,163334,1835215,4801
2170-11-25,410949,1265313,163753,1840015,4800
2171-11-25,411902,1268742,164172,1844816,4801
2172-11-25,412854,1272171,164591,1849616,4800
2173-11-25,413806,1275600,165010,1854416,4800
2174-11-25,414759,1279029,165429,1859217,4801
2175-11-25,415711,1282458,165848,1864017,4800
2176-11-25,416664,1285887,166267,1868818,4801
2177-11-25,417616,1289316,166686,1873618,4800
2178-11-25,418568,1292745,167105,1878418,4800
2179-11-25,419521,1296174,167524,1883219,4801
2180-11-25,420473,1299603,167943,1888019,4800
2181-11-25,421425,1303032,168362,1892819,4800
2182-11-25,422378,1306461,168781,1897620,4801
2183-11-25,423330,1309890,169200,1902420,4800
2184-11-25,424283,1313319,169619,1907221,4801
2185-11-25,425235,1316748,170038,1912021,4800
2186-11-25,426187,1320177,170457,1916821,4800
2187-11-25,427140,1323606,170876,1921622,4801
2188-11-25,428092,1327035,171295,1926422,4800
2189-11-25,429044,1330464,171714,1931222,4800
2190-11-25,429997,1333893,172133,1936023,4801
2191-11-25,430949,1337322,172552,1940823,4800
2192-11-25,431902,1340751,172971,1945624,4801
2193-11-25,432854,1344180,173390,1950424,4800
2194-11-25,433806,1347609,173809,1955224,4800
2195-11-25,434759,1351038,174228,1960025,4801
2196-11-25,435711,1354467,174647,1964825,4800
2197-11-25,436663,1357896,175066,1969625,4800
